,COLLECTION_ADDRESS,TRADES,AVG_HOLD_TIME_SECONDS
3289,495F947276749CE646F68AC8C248420045CB7B5E,855928,2008840.7755804227
6788,76BE3B62873462D2142405439777E971754E8E77,180963,81730.1374479866
1036,C36CF0CFCB5D905B8B513860DB0CFE63F6CF9F5C,137582,232048.4064339812
4574,A342F5D851E866E18FF98F351F2C6637F4478DB5,96680,318157.73458833265
2927,D07DC4262BCDBF85190C01C996B4C06A461D2430,96009,1424408.8691268526
5134,57F1887A8BF19B14FC0DF6FD9B2ACC9AF147EA85,86938,2729118.159320435
8165,A7D8D9EF8D8CE8992DF33D8B8CF4AEBABD5BD270,80878,5950422.418407973
6066,28472A58A490C5E09A238847F66A68A47CC76F0F,44843,1242.1965747162321
663,50F5474724E0EE42D9A4E711CCFB275809FD6D4A,37432,11898810.602345586
8878,209E639A0EC166AC7A1A4BA41968FA967DB30221,36635,1005212.4815613484
8347,34D85C9CDEB23FA97CB08333B511AC86E1C4E258,36575,2999288.757566644
8355,BCE3781AE7CA1A5E050BD9C4C77369867EBC307E,30850,1330866.9867098865
3217,BD3531DA5CF5857E7CFAA92426877B022E612CF8,30364,4145552.684033724
7190,B932A70A57673D89F4ACFFBE830E8ED7F75FB9E0,29697,1550909.6566656565
2285,2079812353E2C9409A788FBF5F383FA62AD85BE8,27641,969.1417097789515
8146,73DA73EF3A6982109C4D5BDB0DB9DD3E3783F313,27632,59500.72419658367
997,1485297E942CE64E0870ECE60179DFDA34B4C625,27217,1362103.3105044642
6593,7DEB7BCE4D360EBE68278DEE6054B882AA62D19C,27104,16055.243285123966
1807,60E4D786628FEA6478F785A6D7E704777C86A7C6,26925,5242489.187112349
7403,7BD29408F11D2BFC23C34F18275BBF23BB716BC7,26322,3360301.8563559
1795,7DF64F69544C5BF71171DC5AB69B8602C2FF1E27,26056,746642.226742401
2893,76B3AF5F0F9B89CA5A4F9FE6C58421DBE567062D,25851,1160824.5726664346
8317,123B30E25973FECD8354DD5F41CC45A3065EF88C,25366,2897418.8688796028
4666,64B6B4142D4D78E49D53430C1D3939F2317F9085,25153,797002.3537550193
7488,236672ED575E1E479B8E101AEEB920F32361F6F9,24295,55063.93871166907
2874,7DAEC605E9E2A1717326EEDFD660601E2753A057,24111,26244.691468624278
3262,1A92F7381B9F03921564A437210BB9396471050C,23894,4820104.361136687
3093,31D45DE84FDE2FB36575085E05754A4932DD5170,23239,1051465.213090064
8090,A5C0BD78D1667C13BFB403E2A3336871396713C5,23224,2932089.20991216
1665,248139AFB8D3A2E16154FBE4FB528A3A214FD8E7,23142,1361539.9854377322
6324,705B9DBD0D5607BEAFE12E2FB74D64268D3BA35F,22892,688143.0444260003
5004,ED5AF388653567AF2F388E6224DC7C4B3241C544,22321,2830896.3062586803
7258,7AB2352B1D2E185560494D5E577F9D3C238B78C5,22146,5908925.4406664865
2898,5BD815FD6C096BAB38B4C6553CFCE3585194DFF9,21350,2198781.430210773
6408,79FCDEF22FEED20EDDACBB2587640E45491B757F,21231,3588233.840563327
8769,8943C7BAC1914C9A7ABA750BF2B6B09FD21037E0,21184,4643262.137320619
4508,1A2F71468F656E97C2F86541E57189F59951EFE7,21129,4191142.308201997
2220,701A038AF4BD0FC9B69A829DDCB2F61185A49568,20896,1210326.6765888208
2905,2ACAB3DEA77832C09420663B0E1CB386031BA17B,20591,4938947.4825894805
906,BC4CA0EDA7647A8AB7C2061C2E118A18A936F13D,20164,5595358.542848641
9683,5EAEADDA470245343249452E744E423F489ABBC4,19992,436461.587434974
5828,CCA8050215E585E2A223C6EA9D1D1F9B30BEAF3E,19945,795643.3381298571
4509,D3605059C3CE9FACF625FA72D727508B7B7F280F,19821,1476594.0138741739
7185,BA30E5F9BB24CAA003E9F2F0497AD287FDF95623,19190,4691868.370818134
1362,524CAB2EC69124574082676E6F654A18DF49A048,18883,5372253.742678599
1047,4B61413D4392C806E6D0FF5EE91E6073C21D6430,18824,1864475.7856459839
3299,C92CEDDFB8DD984A89FB494C376F9A48B999AAFC,18802,4206691.602914584
270,364C828EE171616A39897688A831C2499AD972EC,18664,5588142.308026146
57,BD5FB504D4482EF4366DFA0C0EDFB85ED50A9BBB,18643,854092.9337552969
5457,A7206D878C5C3871826DFDB42191C49B1D11F466,18630,2281.6376811594205
